2022-01-20 00:00:08,546 DEBUG o.s.b.w.s.s.DocumentRoot:81 [restartedMain] Code archive: C:\Users\Anfeed\.gradle\caches\modules-2\files-2.1\org.springframework.boot\spring-boot\2.6.2\bbf59f411320da665411692359ff511315d0ff91\spring-boot-2.6.2.jar
2022-01-20 00:00:08,547 DEBUG o.s.b.w.s.s.DocumentRoot:125 [restartedMain] Code archive: C:\Users\Anfeed\.gradle\caches\modules-2\files-2.1\org.springframework.boot\spring-boot\2.6.2\bbf59f411320da665411692359ff511315d0ff91\spring-boot-2.6.2.jar
2022-01-20 00:00:08,547 DEBUG o.s.b.w.s.s.DocumentRoot:149 [restartedMain] None of the document roots [src/main/webapp, public, static] point to a directory and will be ignored.
2022-01-20 00:00:08,622 INFO o.s.b.w.e.t.TomcatWebServer:108 [restartedMain] Tomcat initialized with port(s): 8080 (http)
2022-01-20 00:00:08,654 INFO o.a.j.l.DirectJDKLog:173 [restartedMain] Initializing ProtocolHandler ["http-nio-8080"]
2022-01-20 00:00:08,655 INFO o.a.j.l.DirectJDKLog:173 [restartedMain] Starting service [Tomcat]
2022-01-20 00:00:08,655 INFO o.a.j.l.DirectJDKLog:173 [restartedMain] Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-01-20 00:00:08,758 INFO o.a.j.l.DirectJDKLog:173 [restartedMain] Initializing Spring embedded WebApplicationContext
2022-01-20 00:00:08,758 DEBUG o.s.b.w.s.c.ServletWebServerApplicationContext:284 [restartedMain] Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
2022-01-20 00:00:08,758 INFO o.s.b.w.s.c.ServletWebServerApplicationContext:290 [restartedMain] Root WebApplicationContext: initialization completed in 1449 ms
2022-01-20 00:00:08,760 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'errorPageSecurityInterceptor'
2022-01-20 00:00:08,760 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.security.servlet.ErrorPageSecurityFilterConfiguration'
2022-01-20 00:00:08,761 DEBUG o.s.b.f.s.ConstructorResolver:808 [restartedMain] Autowiring by type from bean name 'errorPageSecurityInterceptor' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@62ce19a5'
2022-01-20 00:00:08,763 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'securityFilterChainRegistration'
2022-01-20 00:00:08,763 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.security.servlet.SecurityFilterAutoConfiguration'
2022-01-20 00:00:08,764 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'spring.security-org.springframework.boot.autoconfigure.security.SecurityProperties'
2022-01-20 00:00:08,765 DEBUG o.s.b.f.s.ConstructorResolver:808 [restartedMain] Autowiring by type from bean name 'securityFilterChainRegistration' via factory method to bean named 'spring.security-org.springframework.boot.autoconfigure.security.SecurityProperties'
2022-01-20 00:00:08,769 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'requestContextFilter'
2022-01-20 00:00:08,771 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'formContentFilter'
2022-01-20 00:00:08,771 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration'
2022-01-20 00:00:08,775 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'characterEncodingFilter'
2022-01-20 00:00:08,782 DEBUG o.s.b.w.s.ServletContextInitializerBeans:236 [restartedMain] Mapping filters: springSecurityFilterChain urls=[/*] order=-100, filterRegistrationBean urls=[/*] order=2147483647, characterEncodingFilter urls=[/*] order=-2147483648, formContentFilter urls=[/*] order=-9900, requestContextFilter urls=[/*] order=-105
2022-01-20 00:00:08,783 DEBUG o.s.b.w.s.ServletContextInitializerBeans:236 [restartedMain] Mapping servlets: dispatcherServlet urls=[/]
2022-01-20 00:00:08,798 DEBUG o.s.w.f.GenericFilterBean:242 [restartedMain] Filter 'requestContextFilter' configured for use
2022-01-20 00:00:08,798 DEBUG o.s.w.f.GenericFilterBean:242 [restartedMain] Filter 'characterEncodingFilter' configured for use
2022-01-20 00:00:08,799 DEBUG o.s.w.f.GenericFilterBean:242 [restartedMain] Filter 'springSecurityFilterChain' configured for use
2022-01-20 00:00:08,799 DEBUG o.s.w.f.GenericFilterBean:242 [restartedMain] Filter 'formContentFilter' configured for use
2022-01-20 00:00:08,831 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'dataSourceScriptDatabaseInitializer'
2022-01-20 00:00:08,831 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.sql.init.DataSourceInitializationConfiguration'
2022-01-20 00:00:08,832 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'dataSource'
2022-01-20 00:00:08,833 DEBUG o.s.b.f.s.DefaultSingletonBeanRegistry:225 [restartedMain] Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari'
